n_clusters,gap_value,ref_dispersion_std,sk,gap*,sk*,diff,diff*
1.0,3.6558984090943714,14.021005856060096,0.007589758068449819,1810.40530481751,1819.4893777870104,0.351684394796003,1814.2786799927967
2.0,3.310412107631131,4.9511787397112546,0.006198093332762655,773.4135783612583,777.2869535365452,0.002235401679242674,776.4477143213558
3.0,3.3226446866800887,8.884132732236168,0.014467980728200366,594.9761091886446,598.0102451487421,0.10299450822577862,597.2573936888857
4.0,3.230926566992292,5.269350272002872,0.011276388537981866,451.19490722088074,453.47619172112184,0.11818546747558495,453.0405710801461
5.0,3.1407829855485567,10.145241198725003,0.0280418860318497,339.5176056865248,341.36326954579016,0.17139588408729983,341.66680217895714
6.0,3.040079446802133,20.720928593366757,0.07069234534087616,272.25476176803164,274.403958260464,-0.10172273621495759,273.6084589880811
7.0,3.1817225427942333,9.798058775513354,0.039920359777142644,229.24204870161688,230.59574592166635,0.06793001522457523,230.46391207694523
8.0,3.1568110459684493,9.236337398703546,0.043018518398791256,202.5759718625923,203.79783523792065,-0.0019107524499161338,203.59633523331462
9.0,3.191521943238986,6.5133875023994605,0.03280014482062042,180.97100836154584,181.99137173226816,0.023121136921327126,181.84717969794542
10.0,3.1933230179659953,4.355183591099517,0.024922211648336537,164.0226288155358,164.89880015193538,,
